City,Gender,Age,ItemType,Price,Units Sold,Profit,Date of purchase,Feedback (out of 5 stars),Payment Method,Discount Applied,Return Status
Jaipur,Male,52,Toys,347.98,11,1085.7,2023-01-02,2.1,Net Banking,No,Returned
Mumbai,Male,20,Toys,484.6,45,2464.55,2023-06-27,4.0,UPI,No,Returned
Jaipur,Male,63,Clothing,289.09,35,1883.99,2023-04-09,5.0,Net Banking,Yes,Not Returned
Kolkata,Male,60,Electronics,278.94,36,1967.36,2023-07-05,4.5,Credit Card,No,Not Returned
Hyderabad,Female,59,Electronics,92.52,5,72.62,2023-12-05,3.6,Net Banking,Yes,Returned
Bengaluru,Female,22,Books,408.18,11,508.95,2023-02-11,4.2,Wallet,Yes,Returned
Jaipur,Female,31,Electronics,27.33,25,73.64,2023-05-01,3.6,Wallet,No,Not Returned
Ahmedabad,Male,47,Toys,186.91,48,2231.82,2023-11-19,4.7,UPI,Yes,Not Returned
Kolkata,Male,20,Toys,67.56,50,565.82,2023-05-20,4.0,Credit Card,No,Not Returned
Chennai,Female,62,Electronics,100.7,16,464.3,2023-10-31,3.1,Cash,No,Not Returned
Bengaluru,Male,41,Books,148.72,40,1435.39,2023-03-06,1.7,Cash,Yes,Not Returned
Delhi,Male,43,Clothing,78.21,21,337.65,2023-08-09,4.4,Credit Card,Yes,Returned
Hyderabad,Male,40,Toys,54.27,41,623.46,2023-02-25,1.3,Credit Card,No,Returned
Hyderabad,Female,48,Groceries,31.79,12,94.8,2023-03-05,4.8,Cash,Yes,Returned
Delhi,Male,22,Electronics,260.7,2,150.64,2023-10-09,1.9,UPI,No,Returned
Hyderabad,Male,20,Groceries,328.03,5,225.76,2023-11-29,3.4,Wallet,No,Returned
Bengaluru,Male,50,Clothing,283.14,27,1769.21,2023-12-06,3.9,UPI,Yes,Not Returned
Hyderabad,Male,38,Groceries,213.72,35,1119.26,2023-07-09,3.0,Wallet,Yes,Not Returned
Jaipur,Female,49,Groceries,220.64,3,126.73,2023-10-12,3.0,UPI,Yes,Not Returned
Chennai,Female,34,Books,83.46,13,250.87,2023-10-22,3.1,Net Banking,No,Not Returned
Mumbai,Male,61,Toys,19.49,10,41.97,2023-09-06,4.6,Cash,Yes,Returned
Chennai,Male,23,Books,234.5,35,1767.19,2023-04-17,4.3,Credit Card,Yes,Not Returned
Lucknow,Female,40,Groceries,190.72,44,1719.98,2023-02-24,2.1,Credit Card,No,Not Returned
Kolkata,Female,38,Clothing,213.58,37,2081.29,2023-04-07,3.6,Credit Card,No,Returned
Hyderabad,Female,40,Toys,33.81,43,165.84,2023-08-31,2.4,Wallet,No,Not Returned
Delhi,Female,37,Toys,197.55,34,1568.25,2023-10-27,1.2,Wallet,No,Not Returned
Delhi,Male,48,Electronics,195.15,7,206.78,2023-01-08,4.8,Credit Card,Yes,Not Returned
Lucknow,Female,18,Toys,461.24,34,2618.1,2023-06-30,1.7,Wallet,No,Returned
Lucknow,Female,36,Clothing,220.28,48,1631.13,2023-09-21,4.2,Cash,No,Returned
Jaipur,Male,49,Books,164.95,48,1292.5,2023-07-26,3.1,Credit Card,No,Returned
Pune,Male,58,Electronics,456.1,38,4016.28,2023-04-30,3.6,UPI,Yes,Not Returned
Kolkata,Male,47,Toys,141.11,29,1071.75,2023-05-09,1.9,Cash,Yes,Not Returned
Mumbai,Female,39,Books,395.77,8,756.68,2023-12-11,4.3,Credit Card,Yes,Not Returned
Hyderabad,Male,48,Clothing,487.68,32,3744.25,2023-11-15,4.8,Credit Card,Yes,Not Returned
Hyderabad,Female,19,Clothing,198.65,8,421.53,2023-01-25,1.5,Wallet,No,Returned
Pune,Male,28,Clothing,460.35,3,261.0,2023-09-24,4.4,Cash,No,Not Returned
Jaipur,Female,44,Clothing,483.33,24,3106.57,2023-03-10,1.1,UPI,Yes,Not Returned
Pune,Male,48,Clothing,202.65,48,1562.99,2023-02-10,4.1,Wallet,Yes,Not Returned
Lucknow,Female,63,Toys,362.86,7,533.26,2023-02-08,4.3,Credit Card,No,Returned
Kolkata,Male,30,Electronics,297.02,34,1352.28,2023-10-03,3.2,Credit Card,No,Not Returned
Hyderabad,Female,31,Groceries,135.26,15,353.49,2023-02-23,3.1,Wallet,No,Returned
Kolkata,Female,48,Clothing,419.72,19,1328.39,2023-02-26,2.2,Net Banking,Yes,Not Returned
Chennai,Female,56,Clothing,66.34,45,686.94,2023-11-04,3.2,Net Banking,Yes,Returned
Hyderabad,Male,45,Toys,258.82,44,1469.11,2023-02-25,2.3,Cash,Yes,Returned
Ahmedabad,Male,55,Groceries,228.63,43,2362.29,2023-01-11,2.1,UPI,No,Not Returned
Jaipur,Female,23,Clothing,200.43,13,339.17,2023-07-08,3.3,UPI,No,Returned
Bengaluru,Female,46,Books,379.96,17,1575.66,2023-09-14,2.1,UPI,No,Returned
Delhi,Male,61,Groceries,290.53,38,2640.92,2023-09-23,2.3,Net Banking,Yes,Returned
Lucknow,Female,63,Toys,457.35,25,2714.71,2023-10-21,1.8,Wallet,Yes,Not Returned
Jaipur,Male,42,Electronics,434.65,46,5405.81,2023-09-10,3.3,Wallet,Yes,Not Returned
Jaipur,Male,19,Toys,331.16,47,3350.87,2023-05-01,4.8,Credit Card,Yes,Returned
Delhi,Male,43,Clothing,143.84,33,1180.27,2023-02-11,3.4,Credit Card,No,Not Returned
Pune,Female,36,Books,463.46,27,2980.94,2023-04-09,3.9,Credit Card,Yes,Not Returned
Mumbai,Female,37,Toys,235.7,34,2186.96,2023-12-05,2.2,Wallet,Yes,Not Returned
Lucknow,Female,34,Toys,146.99,1,15.54,2023-09-30,5.0,Credit Card,Yes,Not Returned
Hyderabad,Female,24,Books,432.94,46,3123.82,2023-12-13,3.0,Wallet,Yes,Returned
Hyderabad,Female,29,Books,305.73,35,2251.76,2023-06-01,4.3,Wallet,No,Not Returned
Kolkata,Female,32,Groceries,345.12,22,1114.14,2023-08-27,2.3,UPI,Yes,Returned
Mumbai,Female,26,Electronics,413.08,21,2249.82,2023-12-14,3.2,UPI,No,Not Returned
Mumbai,Male,29,Clothing,138.19,42,621.56,2023-03-28,3.6,UPI,Yes,Returned
Ahmedabad,Male,21,Toys,271.03,1,60.5,2023-07-29,2.1,Credit Card,Yes,Not Returned
Kolkata,Female,20,Toys,315.52,13,553.95,2023-01-04,1.2,Wallet,Yes,Returned
Chennai,Female,61,Groceries,64.97,3,43.97,2023-02-21,1.0,Cash,No,Not Returned
Mumbai,Female,25,Groceries,98.26,17,167.65,2023-07-15,2.1,UPI,No,Returned
Delhi,Male,29,Clothing,147.3,15,517.33,2023-03-26,4.0,Wallet,No,Returned
Delhi,Male,26,Clothing,93.55,48,591.0,2023-03-03,1.9,Wallet,Yes,Not Returned
Jaipur,Male,36,Clothing,249.98,21,562.99,2023-03-12,1.4,Cash,Yes,Not Returned
Delhi,Male,62,Electronics,301.86,38,1925.84,2023-12-16,1.6,UPI,Yes,Not Returned
Lucknow,Female,50,Books,499.99,12,1575.65,2023-12-05,3.2,Cash,Yes,Not Returned
Delhi,Female,62,Electronics,314.3,37,2252.15,2023-11-07,4.2,UPI,No,Not Returned
Hyderabad,Male,60,Electronics,299.32,42,3136.06,2023-02-22,1.4,Cash,Yes,Returned
Pune,Female,21,Electronics,335.5,8,774.9,2023-01-01,4.8,Cash,Yes,Returned
Pune,Female,60,Books,193.32,10,443.73,2023-01-16,3.5,Wallet,Yes,Returned
Ahmedabad,Male,45,Books,76.82,45,807.75,2023-04-15,3.4,Credit Card,No,Returned
Mumbai,Female,42,Books,208.95,47,1894.05,2023-02-18,4.5,Net Banking,No,Returned
Bengaluru,Female,57,Books,402.93,46,1923.66,2023-04-27,1.1,Wallet,No,Returned
Kolkata,Male,33,Clothing,158.2,41,1405.31,2023-01-23,2.8,Credit Card,Yes,Not Returned
Jaipur,Female,53,Groceries,238.94,36,2305.07,2023-03-01,3.3,UPI,Yes,Returned
Jaipur,Female,36,Electronics,137.71,10,248.8,2023-02-17,2.7,Net Banking,No,Not Returned
Mumbai,Male,38,Toys,375.49,9,450.11,2023-10-04,2.0,UPI,Yes,Not Returned
Mumbai,Female,39,Groceries,273.99,46,2366.63,2023-02-03,2.1,Net Banking,Yes,Not Returned
Pune,Female,57,Toys,340.22,31,1361.77,2023-03-05,1.7,Wallet,Yes,Not Returned
Hyderabad,Male,35,Books,116.53,35,650.74,2023-04-17,1.1,Credit Card,No,Not Returned
Jaipur,Male,31,Electronics,29.94,46,186.29,2023-01-26,3.0,Credit Card,Yes,Not Returned
Pune,Female,39,Groceries,264.18,13,520.8,2023-01-27,2.4,Cash,No,Not Returned
Lucknow,Female,23,Groceries,408.61,48,2969.7,2023-05-05,4.1,Cash,Yes,Not Returned
Chennai,Female,63,Groceries,367.34,9,829.78,2023-01-09,3.4,Cash,No,Not Returned
Chennai,Male,29,Groceries,109.32,7,199.91,2023-12-23,3.3,Cash,No,Not Returned
Bengaluru,Male,50,Clothing,74.62,41,656.74,2023-12-08,3.0,Net Banking,No,Returned
Ahmedabad,Female,65,Clothing,6.74,18,27.06,2023-06-14,4.3,Cash,Yes,Not Returned
Ahmedabad,Female,63,Books,38.24,28,149.31,2023-10-11,4.3,Wallet,Yes,Returned
Kolkata,Male,40,Electronics,86.26,8,189.23,2023-09-16,3.4,Cash,No,Returned
Hyderabad,Male,23,Toys,489.32,25,2126.57,2023-07-08,2.6,Net Banking,Yes,Returned
Mumbai,Female,61,Clothing,105.24,38,1082.09,2023-01-21,1.3,Net Banking,No,Returned
Ahmedabad,Female,39,Toys,285.64,6,262.09,2023-07-19,4.9,Net Banking,Yes,Not Returned
Lucknow,Male,62,Groceries,101.61,44,1192.84,2023-07-16,4.2,Cash,No,Not Returned
Chennai,Male,60,Toys,65.66,28,522.25,2023-07-06,2.7,Net Banking,No,Not Returned
Pune,Female,18,Toys,110.25,25,472.73,2023-09-18,2.6,Net Banking,Yes,Returned
Mumbai,Female,54,Toys,232.49,25,1277.74,2023-11-12,4.5,Credit Card,No,Not Returned
Bengaluru,Male,37,Books,104.42,39,1154.49,2023-09-15,4.6,UPI,No,Not Returned
Bengaluru,Male,49,Groceries,386.14,29,2121.67,2023-05-29,1.3,Credit Card,Yes,Returned
Pune,Male,25,Electronics,478.01,35,4828.73,2023-09-02,2.5,UPI,No,Returned
Chennai,Female,20,Clothing,167.47,36,1615.27,2023-02-21,2.7,Cash,No,Returned
Pune,Male,50,Books,194.13,36,1800.88,2023-09-10,2.5,Wallet,No,Not Returned
Pune,Female,45,Electronics,105.84,25,728.43,2023-04-14,3.6,Cash,Yes,Not Returned
Pune,Male,27,Toys,53.75,40,631.22,2023-03-14,1.3,Credit Card,No,Not Returned
Kolkata,Female,44,Toys,119.67,39,518.87,2023-12-15,4.1,UPI,No,Returned
Ahmedabad,Female,28,Clothing,209.69,46,1825.52,2023-02-08,4.8,Net Banking,No,Not Returned
Kolkata,Female,58,Electronics,211.25,2,118.12,2023-03-22,2.6,Credit Card,Yes,Not Returned
Lucknow,Female,39,Toys,91.28,45,626.46,2023-02-14,2.8,Cash,Yes,Not Returned
Delhi,Female,51,Electronics,17.77,39,194.72,2023-06-24,4.7,Net Banking,Yes,Returned
Hyderabad,Male,49,Electronics,114.44,16,457.29,2023-06-29,2.6,Net Banking,No,Returned
Kolkata,Male,33,Electronics,268.73,22,693.67,2023-10-02,1.8,Net Banking,Yes,Not Returned
Lucknow,Female,62,Clothing,157.26,40,1317.86,2023-11-06,2.5,Wallet,Yes,Returned
Mumbai,Male,18,Groceries,416.53,38,2978.5,2023-07-03,3.1,Credit Card,Yes,Not Returned
Mumbai,Female,35,Electronics,466.22,5,417.74,2023-11-22,3.6,UPI,Yes,Returned
Pune,Male,38,Books,265.46,13,740.86,2023-08-03,1.4,UPI,No,Returned
Jaipur,Male,38,Toys,447.92,44,4267.57,2023-12-30,3.8,Cash,No,Returned
Bengaluru,Female,55,Clothing,253.34,5,336.14,2023-10-03,3.4,Credit Card,No,Returned
Kolkata,Female,34,Books,171.64,35,1688.65,2023-11-13,1.1,Net Banking,Yes,Returned
Delhi,Female,26,Toys,42.1,18,181.89,2023-12-14,2.8,Wallet,Yes,Not Returned
Kolkata,Female,45,Clothing,220.11,4,151.21,2023-03-12,3.1,UPI,No,Returned
Ahmedabad,Female,32,Electronics,486.85,16,1085.54,2023-04-12,5.0,Wallet,No,Not Returned
Jaipur,Male,43,Groceries,383.22,22,1597.48,2023-11-20,4.6,UPI,No,Returned
Hyderabad,Female,31,Electronics,497.6,28,1821.19,2023-04-01,1.8,Cash,No,Returned
Delhi,Male,34,Clothing,123.45,29,421.33,2023-03-30,1.1,Cash,No,Not Returned
Lucknow,Male,22,Clothing,321.77,28,905.65,2023-09-16,1.7,Wallet,No,Returned
Jaipur,Female,20,Clothing,491.59,24,2126.93,2023-12-19,2.3,Credit Card,Yes,Returned
Ahmedabad,Female,58,Groceries,352.39,31,1157.31,2023-12-11,3.3,UPI,No,Not Returned
Chennai,Female,32,Books,492.03,38,4743.42,2023-05-23,2.5,Net Banking,Yes,Not Returned
Delhi,Female,59,Toys,107.31,25,278.41,2023-12-14,4.8,UPI,Yes,Returned
Bengaluru,Male,22,Clothing,99.02,15,413.05,2023-09-12,1.6,Wallet,No,Not Returned
Hyderabad,Male,52,Electronics,208.48,3,87.28,2023-01-15,1.8,Cash,Yes,Returned
Pune,Male,50,Groceries,174.99,34,1482.45,2023-05-21,1.5,Wallet,No,Returned
Delhi,Female,51,Groceries,368.64,38,1849.09,2023-02-03,4.5,Credit Card,No,Not Returned
Jaipur,Female,51,Toys,120.69,48,1368.76,2023-05-16,2.5,Net Banking,No,Not Returned
Jaipur,Male,57,Clothing,31.96,2,15.85,2023-04-17,2.9,Credit Card,No,Not Returned
Chennai,Female,35,Clothing,256.25,22,582.76,2023-09-23,4.4,Cash,No,Returned
Chennai,Female,65,Books,391.48,17,883.51,2023-05-06,2.5,Wallet,No,Not Returned
Bengaluru,Male,21,Groceries,136.92,35,522.16,2023-05-25,3.7,Net Banking,No,Returned
Mumbai,Male,51,Toys,412.12,35,1525.09,2023-08-28,2.5,Credit Card,Yes,Not Returned
Pune,Female,45,Electronics,478.65,49,5648.68,2023-04-03,2.9,Wallet,Yes,Not Returned
Kolkata,Female,65,Groceries,439.36,38,4642.21,2023-06-03,3.5,Credit Card,Yes,Not Returned
Hyderabad,Female,32,Books,224.64,41,1067.53,2023-12-19,2.5,Wallet,Yes,Not Returned
Ahmedabad,Male,40,Books,128.93,9,251.97,2023-07-09,3.1,Cash,Yes,Not Returned
Jaipur,Male,53,Toys,133.15,37,663.02,2023-11-30,3.0,Credit Card,Yes,Returned
Kolkata,Female,42,Groceries,202.9,39,1945.65,2023-07-14,1.3,Cash,Yes,Not Returned
Kolkata,Female,22,Books,56.34,32,504.94,2023-12-12,2.8,Cash,Yes,Returned
Kolkata,Female,44,Clothing,440.46,27,3340.23,2023-05-22,2.7,UPI,Yes,Not Returned
Ahmedabad,Female,39,Clothing,170.93,36,1087.38,2023-07-20,2.8,Credit Card,No,Returned
Hyderabad,Male,24,Electronics,321.0,46,1967.99,2023-06-14,3.2,UPI,No,Not Returned
Ahmedabad,Female,34,Electronics,274.68,23,715.57,2023-11-01,2.6,Credit Card,Yes,Not Returned
Pune,Male,52,Groceries,317.51,33,1349.12,2023-04-23,2.9,UPI,No,Not Returned
Mumbai,Male,30,Clothing,346.65,33,1190.43,2023-08-17,3.8,Credit Card,Yes,Not Returned
Bengaluru,Male,35,Clothing,350.9,49,3402.49,2023-06-11,4.8,UPI,Yes,Not Returned
Bengaluru,Female,54,Toys,459.9,40,4928.07,2023-08-17,4.8,Wallet,No,Returned
Delhi,Female,60,Toys,223.57,8,316.16,2023-03-01,3.8,Wallet,Yes,Returned
Lucknow,Female,27,Toys,258.16,26,1853.21,2023-02-26,1.4,Wallet,Yes,Returned
Jaipur,Male,61,Books,387.56,46,4222.57,2023-01-19,4.3,Net Banking,Yes,Returned
Kolkata,Female,36,Clothing,190.48,20,427.26,2023-09-18,4.2,Wallet,No,Returned
Mumbai,Female,57,Books,316.12,40,1717.64,2023-09-11,2.6,Net Banking,No,Not Returned
Ahmedabad,Female,32,Groceries,207.62,36,1520.25,2023-06-09,4.9,Credit Card,Yes,Not Returned
Delhi,Male,65,Clothing,246.77,13,835.99,2023-07-22,3.6,UPI,Yes,Not Returned
Chennai,Female,53,Groceries,481.13,50,7048.63,2023-01-13,3.1,Credit Card,No,Returned
Kolkata,Male,54,Clothing,51.07,31,471.58,2023-09-17,2.7,Cash,No,Returned
Lucknow,Female,23,Clothing,11.24,21,30.6,2023-09-19,2.8,UPI,Yes,Returned
Pune,Male,36,Toys,498.86,24,1561.69,2023-02-03,3.5,Credit Card,Yes,Not Returned
Pune,Male,34,Books,113.35,27,795.71,2023-11-09,4.8,UPI,No,Not Returned
Kolkata,Female,41,Toys,441.33,41,3331.37,2023-09-11,1.2,Credit Card,No,Returned
Ahmedabad,Male,22,Electronics,285.16,24,2014.34,2023-07-06,2.9,Cash,Yes,Returned
Kolkata,Female,53,Books,345.45,30,1229.13,2023-02-22,2.9,UPI,No,Not Returned
Lucknow,Male,62,Electronics,360.33,31,2997.94,2023-10-07,1.3,Wallet,No,Not Returned
Jaipur,Male,41,Groceries,296.85,8,488.49,2023-08-08,1.6,Wallet,Yes,Not Returned
Jaipur,Female,21,Groceries,325.7,5,350.15,2023-09-02,1.3,Net Banking,Yes,Returned
Mumbai,Male,19,Books,452.36,46,5345.88,2023-10-20,4.0,UPI,No,Not Returned
Pune,Female,55,Electronics,405.94,13,1478.89,2023-01-03,4.6,Net Banking,Yes,Not Returned
Pune,Male,55,Electronics,31.77,30,216.05,2023-03-30,1.9,Wallet,Yes,Not Returned
Pune,Male,33,Electronics,363.23,18,1270.63,2023-02-17,4.9,Net Banking,Yes,Not Returned
Pune,Male,57,Clothing,204.46,38,1029.25,2023-04-30,2.6,UPI,Yes,Returned
Chennai,Male,24,Books,359.1,32,2153.77,2023-01-16,1.6,Wallet,No,Returned
Jaipur,Male,23,Groceries,13.83,8,24.08,2023-12-19,3.1,Cash,Yes,Not Returned
Lucknow,Male,30,Books,463.45,12,1305.35,2023-05-08,3.0,Cash,No,Returned
Chennai,Female,61,Groceries,447.39,39,3561.94,2023-10-01,1.5,Credit Card,Yes,Returned
Ahmedabad,Male,30,Clothing,279.05,11,701.76,2023-04-26,3.5,Net Banking,No,Not Returned
Delhi,Male,51,Toys,29.53,21,97.44,2023-05-25,1.1,Cash,No,Not Returned
Kolkata,Female,30,Clothing,151.01,8,343.33,2023-08-04,4.9,Wallet,Yes,Not Returned
Mumbai,Male,64,Books,294.02,8,365.72,2023-02-23,1.1,Net Banking,Yes,Not Returned
Jaipur,Female,50,Groceries,213.25,49,1789.47,2023-04-15,3.8,UPI,Yes,Not Returned
Kolkata,Female,39,Toys,305.27,9,547.42,2023-07-09,1.9,Credit Card,No,Returned
Bengaluru,Female,62,Groceries,437.58,13,1081.98,2023-05-11,2.2,Wallet,No,Returned
Bengaluru,Male,42,Groceries,160.66,5,126.94,2023-11-23,4.6,Net Banking,Yes,Returned
Mumbai,Male,27,Books,360.65,33,2079.76,2023-06-09,4.0,UPI,Yes,Not Returned
Mumbai,Female,33,Groceries,497.72,46,5079.28,2023-01-12,4.8,Cash,Yes,Returned
Hyderabad,Female,35,Groceries,289.49,32,1957.84,2023-03-08,2.7,Credit Card,No,Not Returned
Lucknow,Male,34,Toys,39.28,22,210.88,2023-10-20,3.5,Credit Card,Yes,Returned
Chennai,Female,49,Groceries,146.07,2,48.35,2023-12-19,2.3,UPI,No,Not Returned
Lucknow,Male,44,Electronics,125.05,22,506.11,2023-03-24,2.8,UPI,No,Returned
Mumbai,Female,20,Electronics,494.36,39,2309.98,2023-02-23,4.9,Wallet,No,Returned
Ahmedabad,Male,53,Electronics,233.31,48,1706.91,2023-10-13,3.5,Wallet,No,Not Returned
Lucknow,Female,41,Clothing,42.08,44,451.51,2023-07-05,4.0,Cash,No,Returned
Pune,Female,31,Clothing,346.4,38,2708.25,2023-09-24,3.1,Net Banking,No,Returned
Mumbai,Female,34,Electronics,425.82,36,3213.66,2023-10-10,4.1,Wallet,No,Not Returned
Ahmedabad,Male,55,Groceries,275.68,12,750.21,2023-12-18,1.8,Net Banking,No,Not Returned
Ahmedabad,Female,59,Electronics,192.88,36,1044.56,2023-04-11,4.3,UPI,Yes,Returned
Bengaluru,Male,44,Books,203.91,2,75.04,2023-08-08,3.0,Wallet,Yes,Not Returned
Delhi,Female,63,Electronics,363.17,2,99.01,2023-09-15,3.8,Credit Card,No,Returned
Jaipur,Male,29,Toys,159.45,39,1706.49,2023-03-20,4.3,Wallet,Yes,Returned
Delhi,Female,24,Clothing,89.03,28,406.54,2023-09-27,1.3,Net Banking,No,Returned
Lucknow,Male,40,Toys,267.97,28,1101.61,2023-08-01,3.1,Credit Card,Yes,Returned
Kolkata,Male,27,Books,73.5,4,31.8,2023-11-22,1.4,UPI,Yes,Returned
Mumbai,Female,31,Groceries,265.51,36,2212.61,2023-02-09,3.5,Credit Card,Yes,Returned
Chennai,Male,65,Toys,178.33,9,465.36,2023-02-18,1.2,UPI,No,Not Returned
Kolkata,Male,21,Books,353.42,3,230.94,2023-10-23,1.3,Wallet,No,Returned
Kolkata,Male,50,Books,315.75,6,557.61,2023-02-02,4.3,Cash,Yes,Not Returned
Delhi,Male,28,Books,34.5,5,21.17,2023-03-27,4.6,Net Banking,No,Returned
Jaipur,Male,43,Toys,402.03,13,1114.39,2023-10-29,2.9,Wallet,Yes,Not Returned
Lucknow,Male,36,Groceries,477.44,32,4311.97,2023-02-25,3.4,UPI,No,Not Returned
Delhi,Female,25,Books,193.81,35,1358.96,2023-03-03,4.2,Cash,No,Returned
Mumbai,Female,53,Clothing,397.92,19,1571.74,2023-05-03,2.4,Wallet,Yes,Returned
Ahmedabad,Female,32,Toys,373.8,20,2128.62,2023-08-31,3.5,Wallet,Yes,Not Returned
Bengaluru,Male,61,Clothing,470.95,43,4945.54,2023-09-01,2.4,Wallet,Yes,Not Returned
